"RT- 472178 - University of Washington, Seattle",,,,,,,,,,,,,,,,,,,
Report Date 2022-02-14,,,,,,,,,,,,,,,,,,,
"Data refreshed nightly, Monday - Saturday. Last refresh at 2022-02-14 01:45 AM",,,,,,,,,,,,,,,,,,,
Year/Quarter: Autumn 2014 - Autumn 2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Academic_Year,Term,Course_Number,Course_Title,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA,
2016-17,20164 (Autumn 2016),AMATH 351 A,DIFF EQUATIONS,64,21,26,1,3,2,2,,1,,3,,2,3,3.3,
2016-17,20164 (Autumn 2016),AMATH 352 A,LINR ALG & NUM ANLY,63,13,24,10,4,4,,1,,1,1,,,5,3.4,
2016-17,20164 (Autumn 2016),AMATH 383 A,INTRODUCT MODELING,56,9,18,5,2,4,3,2,1,,,,2,10,3.1,
2016-17,20164 (Autumn 2016),AMATH 401 A,VEC CAL COMPLEX VAR,41,3,7,14,5,1,1,1,1,1,1,,5,1,2.7,
2016-17,20164 (Autumn 2016),AMATH 422 A,COMP MODELS BIOLOGY,21,11,7,2,,,,,,,,,,1,3.7,
2016-17,20164 (Autumn 2016),AMATH 481 A,SCIENTIFIC COMPTG,38,22,4,6,,2,1,1,,,,,,2,3.6,
2016-17,20164 (Autumn 2016),AMATH 501 A,VEC CAL COMPLEX VAR,33,11,14,5,,1,,,,,,,,2,3.7,
2016-17,20164 (Autumn 2016),AMATH 501 B,VEC CAL COMPLEX VAR,28,6,7,3,7,1,,,,,,,,4,3.4,
2016-17,20164 (Autumn 2016),AMATH 567 A,APPL COMPLEX ANYLS,24,2,14,6,2,,,,,,,,,,3.5,
2016-17,20164 (Autumn 2016),AMATH 581 A,SCIENTIFIC COMPUTING,46,40,2,,4,,,,,,,,,,3.9,
2016-17,20164 (Autumn 2016),AMATH 581 B,SCIENTIFIC COMPUTING,27,11,9,3,1,,,,1,,,,,2,3.6,
2016-17,20164 (Autumn 2016),AMATH 581 C,SCIENTIFIC COMPUTING,40,24,6,6,2,,,,,,,,,2,3.7,
2016-17,20164 (Autumn 2016),AMATH 584 A,APPL LINEAR ALGEBRA,38,6,13,9,7,2,,,,,,,1,,3.3,
2016-17,20164 (Autumn 2016),AMATH 584 B,APPL LINEAR ALGEBRA,19,1,7,1,6,1,,1,,,,,,2,3.2,
2016-17,20164 (Autumn 2016),ANTH 203 A,INTRO TO ANTH LING,108,12,24,26,18,8,9,7,1,1,1,,,1,3.1,
2016-17,20164 (Autumn 2016),ANTH 204 A,READING ETHNOGRAPHY,38,9,23,2,1,,,,,,,,1,2,3.6,
2016-17,20164 (Autumn 2016),ANTH 215 A,MED ANTH/ GLBL HLTH,268,50,133,44,13,14,6,2,,2,,,2,2,3.4,
2016-17,20164 (Autumn 2016),ANTH 305 A,ANTHROP OF THE BODY,81,60,15,4,2,,,,,,,,,,3.8,
2016-17,20164 (Autumn 2016),ANTH 308 A,WOMENS HEALTH&REPRO,44,41,,,1,,,,,,,,1,1,3.8,
2016-17,20164 (Autumn 2016),ANTH 313 A,PEOPLES OF AFRICA,44,18,14,3,1,4,1,1,1,,,,,1,3.5,
2016-17,20164 (Autumn 2016),ANTH 359 A,LING ETHNO,51,26,14,2,6,,2,,,,,,1,,3.6,
2016-17,20164 (Autumn 2016),ANTH 369 B,SPEC PROB IN ANTH,18,13,3,1,,,,,,1,,,,,3.7,
2016-17,20164 (Autumn 2016),ANTH 456 A,CONTEMP ETHNOGRAPHY,17,9,4,1,1,,,,,,,,,2,3.8,
2016-17,20164 (Autumn 2016),ANTH 479 B,ADV TOPICS MED ANTH,21,6,9,1,1,1,2,,,,,,,1,3.4,
2016-17,20164 (Autumn 2016),ARAB 101 A,ELEMENTARY ARABIC,16,4,1,3,4,2,1,,,,,,,1,3.2,
2016-17,20164 (Autumn 2016),ARAB 101 C,ELEMENTARY ARABIC,22,12,5,2,,,1,,2,,,,,,3.5,
2016-17,20164 (Autumn 2016),ARCH 150 A,APPREC OF ARCH I,684,320,276,35,19,10,6,2,2,2,,2,2,8,3.7,
2016-17,20164 (Autumn 2016),ARCH 150 B,APPREC OF ARCH I,20,1,17,1,1,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ARCH 200 A,ARCH DESIGN & REP 1,115,2,42,36,16,7,3,1,,1,,,4,3,3.1,
2016-17,20164 (Autumn 2016),ARCH 251 A,NON-WESTERN ARCH,80,43,8,8,7,6,2,1,,1,,,1,3,3.5,
2016-17,20164 (Autumn 2016),ARCH 300 A,INTRO ARCH DES I,51,2,12,24,9,4,,,,,,,,,3.2,
2016-17,20164 (Autumn 2016),ARCH 310 A,ARCH DES DRWG I,25,3,21,1,,,,,,,,,,,3.6,
2016-17,20164 (Autumn 2016),ARCH 315 A,DESIGN DRAWING,26,,8,18,,,,,,,,,,,3.3,
2016-17,20164 (Autumn 2016),ARCH 315 B,DESIGN DRAWING,25,,5,16,4,,,,,,,,,,3.3,
2016-17,20164 (Autumn 2016),ARCH 320 A,INTRO STRUCTURES I,108,30,48,21,4,4,,,,,,,,1,3.6,
2016-17,20164 (Autumn 2016),ARCH 332 A,MAKING & MATERIALS,25,9,14,2,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ARCH 350 A,ARCH ANCIENT WORLD,125,17,22,18,23,15,7,7,6,3,2,1,2,2,2.9,
2016-17,20164 (Autumn 2016),ARCH 350 B,ARCH ANCIENT WORLD,25,8,7,3,3,3,,,,,,,,1,3.5,
2016-17,20164 (Autumn 2016),ARCH 410 A,INTRO ARCH PHOTO,19,10,7,1,1,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ARCH 435 A,PRIN & PRAC ENV LTG,17,,15,1,,,,,,,,,,1,3.6,
2016-17,20164 (Autumn 2016),ARCH 462 A,SPATIAL COMPOSITION,18,4,13,1,,,,,,,,,,,3.7,
2016-17,20164 (Autumn 2016),ARCH 487 A,FUNDAMENTALS OF BIM,27,2,11,10,3,,1,,,,,,,,3.4,
2016-17,20164 (Autumn 2016),ARCH 521 A,STRUCT SYS DESIGN,41,6,21,8,5,1,,,,,,,,,3.5,
